SN,z,t0,dt0,x0,dx0,x1,dx1,c,dc,fmax,cov,mu,dmu
ZTF18acsyzca,0.01362146511710316,2458469.0992877376,0.030627389438450336,0.01428654780661777,0.00015159669738542061,-2.4257956296014873,0.022676743945266864,0.02324189030367936,0.007558580733026699,"[{'r': 7175.169875021692, 'g': 7611.095613708325}]","[array([[ 9.38037848e-04, -3.00845868e-06,  4.12220084e-04,
         1.46070303e-04],
       [-3.00845868e-06,  2.29815587e-08, -2.22638030e-06,
        -1.12488033e-06],
       [ 4.12220084e-04, -2.22638030e-06,  5.14235653e-04,
         1.03197463e-04],
       [ 1.46070303e-04, -1.12488033e-06,  1.03197463e-04,
         5.71332313e-05]])]",33.96895453801087,0.10506833570170629
ZTF18aaripcr,0.03474759642851466,2458263.0393198803,5.193287506699562e-06,0.004865039197897027,2.1016168172422606e-05,0.969867868289758,0.03268883862812799,-0.08122835484376185,0.002980749389638833,"[{'r': 2203.309053236538, 'g': 2641.03600623488}]","[array([[ 2.69693080e-11, -2.64056080e-15, -3.67870914e-12,
        -3.78840585e-15],
       [-2.64056080e-15,  4.41679325e-10, -6.29093744e-07,
        -5.51308559e-08],
       [-3.67870914e-12, -6.29093744e-07,  1.06856401e-03,
         7.05308557e-05],
       [-3.78840585e-15, -5.51308559e-08,  7.05308557e-05,
         8.88489341e-06]])]",35.890345136750234,0.10115549279708146
ZTF18abdfaqi,0.0488653632570375,2458310.31828078,0.05877453670836985,0.0021340810431139667,1.3013905701634437e-05,0.48373189220300156,0.07677917517666705,-0.05879928789663125,0.006722537326454774,"[{'r': 1027.2086725857166, 'g': 1198.0391539143948}]","[array([[ 3.45446645e-03,  8.79444853e-08,  1.51952218e-03,
        -5.04636852e-05],
       [ 8.79444853e-08,  1.69361742e-10, -4.82792727e-07,
        -5.70383449e-08],
       [ 1.51952218e-03, -4.82792727e-07,  5.89515785e-03,
         2.66820000e-05],
       [-5.04636852e-05, -5.70383449e-08,  2.66820000e-05,
         4.51931913e-05]])]",36.67277339107156,0.10313707657007214
ZTF18aahptcq,0.06458999999999993,2458221.628929577,0.23807111638598144,0.0007369442047799393,8.539395626186441e-05,0.714701049291137,0.2622022952847708,0.20980292827297956,0.08791497370738154,"[{'r': 515.1751189823569, 'g': 435.7805254703732}]","[array([[ 5.66847345e-02,  7.52068394e-06, -2.82230637e-02,
        -7.79815812e-03],
       [ 7.52068394e-06,  7.29212777e-09, -1.78056571e-05,
        -7.49545693e-06],
       [-2.82230637e-02, -1.78056571e-05,  6.87658856e-02,
         1.79107971e-02],
       [-7.79815812e-03, -7.49545693e-06,  1.79107971e-02,
         7.74996245e-03]])]",37.222308393731055,0.3856324997731402
ZTF18aahsmrw,0.0795189999999999,2458234.56277449,0.2513681687414646,0.0003946184156865956,1.021335293788575e-05,-1.0055631320112188,0.1756294877679238,0.18807707346681607,0.02664672110854513,"[{'r': 278.5231213089017, 'g': 239.74665443563143}]","[array([[ 6.31945775e-02,  5.15760408e-07, -3.09029457e-02,
        -5.34612024e-04],
       [ 5.15760408e-07,  1.04312578e-10, -1.28656100e-06,
        -1.87188630e-07],
       [-3.09029457e-02, -1.28656100e-06,  3.08489214e-02,
         1.70073702e-03],
       [-5.34612024e-04, -1.87188630e-07,  1.70073702e-03,
         7.10222033e-04]])]",37.813057861307215,0.14203387458580494
ZTF18aavnxar,0.08603199999999989,2458268.913256256,0.15850629308260977,0.0004691234403648506,3.506704866863136e-06,0.19152053868281863,0.1360531306180192,0.012456155550366985,0.011289752066014548,"[{'r': 282.24438862351224, 'g': 300.9685992265512}]","[array([[ 2.51255947e-02, -4.62515932e-07,  4.93202686e-03,
         3.59471753e-04],
       [-4.62515932e-07,  1.22969790e-11, -1.91430319e-07,
        -1.25740801e-08],
       [ 4.93202686e-03, -1.91430319e-07,  1.85115970e-02,
        -2.64021997e-04],
       [ 3.59471753e-04, -1.25740801e-08, -2.64021997e-04,
         1.27463918e-04]])]",38.157190521688705,0.10603983527583655
ZTF18aczesom,0.06863099999999989,2458460.271023616,0.7721307063475251,0.0007828615824112609,5.383646061164413e-05,-1.1427437280229655,0.267486043255563,-0.08353938842358002,0.035175959005715324,"[{'r': 387.38024997067555, 'g': 463.6117045806372}]","[array([[ 5.97408792e-01, -3.80814842e-05, -5.08228814e-03,
         1.79449820e-02],
       [-3.80814842e-05,  2.89836449e-09, -3.37799481e-06,
        -1.51868214e-06],
       [-5.08228814e-03, -3.37799481e-06,  7.15660799e-02,
         8.92410182e-04],
       [ 1.79449820e-02, -1.51868214e-06,  8.92410182e-04,
         1.23786236e-03]])]",37.742271881173224,0.1916438174955115
ZTF18aaiwkwk,0.08609500000000003,2458234.757969576,0.043402708834037185,0.0007218787375112348,3.0796160461685207e-06,0.5593214089165363,0.043888242158740765,-0.011464104496340739,0.004723729317474354,"[{'r': 406.56525020961703, 'g': 436.0220878601325}]","[array([[ 1.88380216e-03, -7.69356388e-09, -4.87601605e-04,
         5.29764932e-05],
       [-7.69356388e-09,  9.48403500e-12, -7.53441427e-08,
        -7.35602756e-09],
       [-4.87601605e-04, -7.53441427e-08,  1.92619021e-03,
        -2.21039599e-05],
       [ 5.29764932e-05, -7.35602756e-09, -2.21039599e-05,
         2.23137847e-05]])]",37.79180387028096,0.10140083144422181
ZTF18acusueb,0.022939124364109498,2458458.9088413822,0.10240968270227313,0.004023273171663809,0.00010119855262329114,-1.6460955571149898,0.07364851355180624,0.28400249144915274,0.018015567733593224,"[{'r': 3011.11968112452, 'g': 2411.0809557793955}]","[array([[ 1.04880741e-02, -3.42207821e-07, -4.21755120e-03,
        -3.19044974e-04],
       [-3.42207821e-07,  1.02411471e-08, -1.26795449e-06,
        -1.77531435e-06],
       [-4.21755120e-03, -1.26795449e-06,  5.42420435e-03,
         3.13498836e-04],
       [-3.19044974e-04, -1.77531435e-06,  3.13498836e-04,
         3.24598882e-04]])]",34.822328681125725,0.12486798150145548
ZTF18acwyowc,0.07536300000000007,2458482.499471614,0.11541215935721993,0.0010498516981123918,1.8028055410675842e-05,-0.31597518853809864,0.14028527872634117,-0.1749228579067572,0.016823505088237475,"[{'r': 486.32542407879197, 'g': 655.9615506520183}]","[array([[ 1.33201619e-02, -9.19955730e-07,  6.94526895e-03,
         4.93428060e-04],
       [-9.19955730e-07,  3.25010782e-10, -1.84771186e-06,
        -2.15383170e-07],
       [ 6.94526895e-03, -1.84771186e-06,  1.96812519e-02,
         9.35374440e-04],
       [ 4.93428060e-04, -2.15383170e-07,  9.35374440e-04,
         2.83057873e-04]])]",37.7495577526729,0.12060320047411886
